Model;Specification Number;trial;Class;Comment
Claude;2;T10;2;
Claude;3;T1;1;
Claude;3;T2;1;
Claude;3;T3;1;
Claude;3;T4;1;
Claude;3;T5;1;
Claude;3;T6;1;
Claude;3;T7;1;
Claude;3;T8;1;
Claude;3;T9;1;
Claude;3;T10;1;
Claude;4;T1;4;
Claude;4;T2;4;
Claude;4;T3;4;
Claude;4;T4;4;
Claude;4;T5;4;
Claude;4;T6;4;
Claude;4;T7;4;
Claude;4;T8;4;
Claude;4;T9;4;
Claude;4;T10;4;
Claude;5;T1;1;
Claude;5;T2;1;
Claude;5;T3;3;
Claude;5;T4;1;
Claude;5;T5;1;
Claude;5;T6;1;
Claude;5;T7;1;
Claude;5;T8;1;
Claude;5;T9;1;
Claude;5;T10;1;
Claude;6;T1;2;
Claude;6;T2;2;
Claude;6;T3;2;
Claude;6;T4;2;
Claude;6;T5;2;
Claude;6;T6;2;
Claude;6;T7;2;
Claude;6;T8;2;
Claude;6;T9;2;
Claude;6;T10;2;
Claude;7;T1;2;
Claude;7;T2;2;
Claude;7;T3;2;
Claude;7;T4;2;
Claude;7;T5;2;
Claude;7;T6;2;
Claude;7;T7;2;
Claude;7;T8;2;
Claude;7;T9;2;
Claude;7;T10;2;
Claude;8;T1;1;
Claude;8;T2;1;
Claude;8;T3;1;
Claude;8;T4;1;
Claude;8;T5;4;
Claude;8;T6;1;
Claude;8;T7;1;
Claude;8;T8;4;
Claude;8;T9;1;
Claude;8;T10;1;
DeepSeek;1;T1;1;
DeepSeek;1;T2;2;
DeepSeek;1;T3;2;
DeepSeek;1;T4;2;
DeepSeek;1;T5;2;
DeepSeek;1;T6;2;
DeepSeek;1;T7;2;
DeepSeek;1;T8;2;
DeepSeek;1;T9;2;
DeepSeek;1;T10;2;
DeepSeek;2;T1;1;
DeepSeek;2;T2;1;
DeepSeek;2;T3;1;
DeepSeek;2;T4;2;"Missing the R of CRUD ;D"
DeepSeek;2;T5;2;
DeepSeek;2;T6;2;
DeepSeek;2;T7;2;
DeepSeek;2;T8;2;
DeepSeek;2;T9;2;
DeepSeek;2;T10;2;
DeepSeek;3;T1;1;
DeepSeek;3;T2;1;
DeepSeek;3;T3;2;
DeepSeek;3;T4;1;
DeepSeek;3;T5;2;
DeepSeek;3;T6;1;
DeepSeek;3;T7;1;
DeepSeek;3;T8;1;
DeepSeek;3;T9;1;
DeepSeek;3;T10;1;
DeepSeek;4;T1;1;
DeepSeek;4;T2;1;
DeepSeek;4;T3;1;
DeepSeek;4;T4;1;
DeepSeek;4;T5;1;
DeepSeek;4;T6;1;
DeepSeek;4;T7;1;
DeepSeek;4;T8;1;
DeepSeek;4;T9;1;
DeepSeek;4;T10;1;
DeepSeek;5;T1;1;
DeepSeek;5;T2;1;
DeepSeek;5;T3;1;
DeepSeek;5;T4;1;
DeepSeek;5;T5;1;
DeepSeek;5;T6;1;
DeepSeek;5;T7;1;
DeepSeek;5;T8;1;
DeepSeek;5;T9;1;
DeepSeek;5;T10;1;
DeepSeek;6;T1;1;
DeepSeek;6;T2;1;
DeepSeek;6;T3;1;
DeepSeek;6;T4;1;
DeepSeek;6;T5;1;
DeepSeek;6;T6;1;
DeepSeek;6;T7;1;
DeepSeek;6;T8;1;
DeepSeek;6;T9;1;
DeepSeek;6;T10;1;
DeepSeek;7;T1;1;
DeepSeek;7;T2;1;
DeepSeek;7;T3;1;
DeepSeek;7;T4;1;
DeepSeek;7;T5;1;
DeepSeek;7;T6;1;
DeepSeek;7;T7;1;
DeepSeek;7;T8;1;
DeepSeek;7;T9;1;
DeepSeek;7;T10;1;
DeepSeek;8;T1;1;The specification is not well written, I expect the requirement to correct that
DeepSeek;8;T2;1;
DeepSeek;8;T3;1;
DeepSeek;8;T4;1;
DeepSeek;8;T5;1;
DeepSeek;8;T6;1;
DeepSeek;8;T7;1;
DeepSeek;8;T8;1;
DeepSeek;8;T9;1;
DeepSeek;8;T10;1;
Mistral;1;T1;1;
Mistral;1;T2;1;
Mistral;1;T3;1;
Mistral;1;T4;2;
Mistral;1;T5;2;
Mistral;1;T6;2;
Mistral;1;T7;2;
Mistral;1;T8;2;
Mistral;1;T9;2;
Mistral;1;T10;1;
Mistral;2;T1;1;
Mistral;2;T2;1;
Mistral;2;T3;1;
Mistral;2;T4;1;
Mistral;2;T5;1;
Mistral;2;T6;2;
Mistral;2;T7;2;
Mistral;2;T8;1;
Mistral;2;T9;1;
Mistral;2;T10;1;
Mistral;3;T1;1;
Mistral;3;T2;1;
Mistral;3;T3;1;
Mistral;3;T4;1;
Mistral;3;T5;1;
Mistral;3;T6;1;
Mistral;3;T7;1;
Mistral;3;T8;1;
Mistral;3;T9;1;
Mistral;3;T10;1;
Mistral;4;T1;4;
Mistral;4;T2;1;
Mistral;4;T3;1;
Mistral;4;T4;1;
Mistral;4;T5;1;
Mistral;4;T6;1;
Mistral;4;T7;1;
Mistral;4;T8;1;
Mistral;4;T9;1;
Mistral;4;T10;1;
Mistral;5;T1;1;
Mistral;5;T2;1;
Mistral;5;T3;1;
Mistral;5;T4;1;
Mistral;5;T5;1;
Mistral;5;T6;1;
Mistral;5;T7;1;
Mistral;5;T8;1;
Mistral;5;T9;1;
Mistral;5;T10;1;
Mistral;6;T1;1;
Mistral;6;T2;1;
Mistral;6;T3;1;
Mistral;6;T4;2;
Mistral;6;T5;1;
Mistral;6;T6;2;
Mistral;6;T7;2;
Mistral;6;T8;1;
Mistral;6;T9;1;
Mistral;6;T10;1;
Mistral;7;T1;2;
Mistral;7;T2;2;
Mistral;7;T3;2;
Mistral;7;T4;2;
Mistral;7;T5;2;
Mistral;7;T6;2;
Mistral;7;T7;1;
Mistral;7;T8;1;
Mistral;7;T9;1;
Mistral;7;T10;1;
Mistral;8;T1;1;
Mistral;8;T2;1;
Mistral;8;T3;1;
Mistral;8;T4;1;
Mistral;8;T5;1;
Mistral;8;T6;2;
Mistral;8;T7;4;
Mistral;8;T8;1;
Mistral;8;T9;1;
Mistral;8;T10;1;
Qwen;1;T1;2;
Qwen;1;T2;2;
Qwen;1;T3;2;
Qwen;1;T4;2;
Qwen;1;T5;2;
Qwen;1;T6;2;
Qwen;1;T7;2;
Qwen;1;T8;2;
Qwen;1;T9;2;
Qwen;1;T10;2;
Qwen;2;T1;2;
Qwen;2;T2;2;
Qwen;2;T3;2;
Qwen;2;T4;2;
Qwen;2;T5;2;
Qwen;2;T6;2;
Qwen;2;T7;2;
Qwen;2;T8;2;
Qwen;2;T9;2;
Qwen;2;T10;2;
Qwen;3;T1;2;
Qwen;3;T2;1;
Qwen;3;T3;1;
Qwen;3;T4;1;
Qwen;3;T5;1;
Qwen;3;T6;2;
Qwen;3;T7;4;
Qwen;3;T8;1;
Qwen;3;T9;1;
Qwen;3;T10;2;
Qwen;4;T1;4;
Qwen;4;T2;1;
Qwen;4;T3;4;
Qwen;4;T4;1;
Qwen;4;T5;1;
Qwen;4;T6;1;
Qwen;4;T7;3;
Qwen;4;T8;1;
Qwen;4;T9;1;
Qwen;4;T10;1;
Qwen;5;T1;1;
Qwen;5;T2;3;
Qwen;5;T3;1;
Qwen;5;T4;3;
Qwen;5;T5;1;
Qwen;5;T6;1;
Qwen;5;T7;3;
Qwen;5;T8;1;
Qwen;5;T9;1;
Qwen;5;T10;1;
Qwen;6;T1;2;
Qwen;6;T2;2;
Qwen;6;T3;2;
Qwen;6;T4;2;
Qwen;6;T5;2;
Qwen;6;T6;2;
Qwen;6;T7;2;
Qwen;6;T8;2;
Qwen;6;T9;2;
Qwen;6;T10;2;
Qwen;7;T1;2;
Qwen;7;T2;2;
Qwen;7;T3;2;
Qwen;7;T4;2;
Qwen;7;T5;2;
Qwen;7;T6;2;
Qwen;7;T7;2;
Qwen;7;T8;2;
Qwen;7;T9;2;
Qwen;7;T10;2;
Qwen;8;T1;1;
Qwen;8;T2;1;
Qwen;8;T3;1;
Qwen;8;T4;1;
Qwen;8;T5;1;
Qwen;8;T6;1;
Qwen;8;T7;1;
Qwen;8;T8;1;
Qwen;8;T9;1;
Qwen;8;T10;1;
